ip,hostname,is_shelly,generation,device_type,model,name,mac,firmware,detected_by,notes
10.107.1.23,shelly1pmg4-a085e3bbbb8c,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bbbb8c,A085E3BBBB8C,1.6.2,gen4_rpc,
10.107.1.24,shelly1pmg4-a085e3bcfb14,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb14,A085E3BCFB14,1.6.2,gen4_rpc,
10.107.1.21,shelly1g4-ccba97c89350,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c89350,CCBA97C89350,1.5.99-g4prod1,gen4_rpc,
10.107.1.33,shelly1g4-a085e3bcdf24,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bcdf24,A085E3BCDF24,1.6.2,gen4_rpc,
10.107.1.35,shelly1pmg4-a085e3bc76f8,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc76f8,A085E3BC76F8,1.5.99-g4prod1,gen4_rpc,
10.107.1.43,shelly1g4-a085e3bd87d0,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bd87d0,A085E3BD87D0,1.5.99-g4prod1,gen4_rpc,
10.107.1.52,shelly1pmg4-a085e3bcfb30,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb30,A085E3BCFB30,1.6.2,gen4_rpc,
10.107.1.48,shelly1pmg4-a085e3bcfb2c,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb2c,A085E3BCFB2C,1.6.2,gen4_rpc,
10.107.1.56,shelly1g4-a085e3c16eec,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3c16eec,A085E3C16EEC,1.6.2,gen4_rpc,
10.107.1.75,shelly1g4-ccba97c89b84,True,Gen4,S1G4ZB,S4SW-001X16EU,shelly1g4-ccba97c89b84,CCBA97C89B84,1.6.2,gen4_rpc,
10.107.1.138,shelly1g4-a085e3bd8af0,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bd8af0,A085E3BD8AF0,1.5.99-g4prod1,gen4_rpc,
10.107.1.140,shelly1g4-a085e3bcd118,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bcd118,A085E3BCD118,1.6.2,gen4_rpc,
10.107.1.203,shelly1g4-ccba97c8cbf8,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c8cbf8,CCBA97C8CBF8,1.6.2,gen4_rpc,
10.107.1.192,shelly1g4-ccba97c8a17c,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c8a17c,CCBA97C8A17C,1.6.2,gen4_rpc,
10.107.1.196,shelly1g4-ccba97c8a044,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c8a044,CCBA97C8A044,1.6.2,gen4_rpc,
10.107.1.222,shelly1pmg4-a085e3bc7444,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc7444,A085E3BC7444,1.6.2,gen4_rpc,
10.107.1.232,shelly1pmg4-a085e3bc5718,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc5718,A085E3BC5718,1.6.2,gen4_rpc,
